Date|AQSID|Sitename|Parameter name|Reporting units|Value|Averaging period|Data Source
01/01/20|540219991|Cedar Creek|OZONE-1HR|PPB|36|1|EPA Office of Atmospheric Programs
01/01/20|540219991|Cedar Creek|OZONE-8HR|PPB|34|8|EPA Office of Atmospheric Programs
01/01/20|540390020|CHARLESTON|OZONE-1HR|PPB|41|1|West Virginia Division of Air Quality - Wheeling
01/01/20|540390020|CHARLESTON|OZONE-8HR|PPB|37|8|West Virginia Division of Air Quality - Wheeling
01/01/20|540390020|CHARLESTON|PM2.5-24hr|UG/M3|3.7|24|West Virginia Division of Air Quality - Wheeling
01/01/20|540578883|Bean|SO2-24HR|PPB|0|24|Maryland Department of the Environment
01/01/20|540939991|Parsons|OZONE-1HR|PPB|37|1|EPA Office of Atmospheric Programs
01/01/20|540939991|Parsons|OZONE-8HR|PPB|35|8|EPA Office of Atmospheric Programs
01/01/20|550030010|Bad River Tribal Sch|OZONE-1HR|PPB|35|1|Wisconsin Dept. of Natural Resources
01/01/20|550030010|Bad River Tribal Sch|OZONE-8HR|PPB|33|8|Wisconsin Dept. of Natural Resources
01/01/20|550030010|Bad River Tribal Sch|PM2.5-24hr|UG/M3|7|24|Wisconsin Dept. of Natural Resources
01/01/20|550090005|GREEN BAY E HIGH|PM2.5-24hr|UG/M3|9.2|24|Wisconsin Dept. of Natural Resources
01/01/20|550090005|GREEN BAY E HIGH|SO2-24HR|PPB|0|24|Wisconsin Dept. of Natural Resources
01/01/20|550250041|MADISON EAST|PM2.5-24hr|UG/M3|6.8|24|Wisconsin Dept. of Natural Resources
01/01/20|550250041|MADISON EAST|SO2-24HR|PPB|0|24|Wisconsin Dept. of Natural Resources
01/01/20|550270001|Horicon Wildlife Are|CO-8hr|PPM|0.1|1|Wisconsin Dept. of Natural Resources
01/01/20|550270001|Horicon Wildlife Are|OZONE-1HR|PPB|34|1|Wisconsin Dept. of Natural Resources
01/01/20|550270001|Horicon Wildlife Are|OZONE-8HR|PPB|31|8|Wisconsin Dept. of Natural Resources
01/01/20|550270001|Horicon Wildlife Are|PM10-24hr|UG/M3|11|24|Wisconsin Dept. of Natural Resources
01/01/20|550270001|Horicon Wildlife Are|PM2.5-24hr|UG/M3|8.2|24|Wisconsin Dept. of Natural Resources
01/01/20|550270001|Horicon Wildlife Are|SO2-24HR|PPB|0|24|Wisconsin Dept. of Natural Resources
01/01/20|550350014|Eau Claire|PM2.5-24hr|UG/M3|10.1|24|Wisconsin Dept. of Natural Resources
01/01/20|550410007|POTAWATOMI |OZONE-1HR|PPB|38|1|Wisconsin Dept. of Natural Resources
01/01/20|550410007|POTAWATOMI |OZONE-8HR|PPB|35|8|Wisconsin Dept. of Natural Resources
01/01/20|550410007|POTAWATOMI |PM2.5-24hr|UG/M3|3.6|24|Wisconsin Dept. of Natural Resources
01/01/20|550410007|POTAWATOMI |SO2-24HR|PPB|0|24|Wisconsin Dept. of Natural Resources
01/01/20|550430009|Potosi|PM2.5-24hr|UG/M3|7.9|24|Wisconsin Dept. of Natural Resources
01/01/20|550590019|CHIWAUKEE|PM2.5-24hr|UG/M3|6.6|24|Wisconsin Dept. of Natural Resources
01/01/20|550630012|LACROSSE DOT|PM2.5-24hr|UG/M3|7.4|24|Wisconsin Dept. of Natural Resources
01/01/20|550790010|MILWAUKEE 16TH ST|PM2.5-24hr|UG/M3|8.3|24|Wisconsin Dept. of Natural Resources
01/01/20|550790026|MILWAUKEE SER DNR|OZONE-1HR|PPB|31|1|Wisconsin Dept. of Natural Resources
01/01/20|550790026|MILWAUKEE SER DNR|OZONE-8HR|PPB|29|8|Wisconsin Dept. of Natural Resources
01/01/20|550790026|MILWAUKEE SER DNR|PM10-24hr|UG/M3|14|24|Wisconsin Dept. of Natural Resources
01/01/20|550790026|MILWAUKEE SER DNR|PM2.5-24hr|UG/M3|8.1|24|Wisconsin Dept. of Natural Resources
01/01/20|550790026|MILWAUKEE SER DNR|SO2-24HR|PPB|0|24|Wisconsin Dept. of Natural Resources
01/01/20|550790056|MILWAUKEE COLLEGE AV|CO-8hr|PPM|0.23|1|Wisconsin Dept. of Natural Resources
01/01/20|550790056|MILWAUKEE COLLEGE AV|PM10-24hr|UG/M3|17|24|Wisconsin Dept. of Natural Resources
01/01/20|550790056|MILWAUKEE COLLEGE AV|PM2.5-24hr|UG/M3|5.2|24|Wisconsin Dept. of Natural Resources
01/01/20|550850996|RHINELANDER|SO2-24HR|PPB|2|24|Wisconsin Dept. of Natural Resources
01/01/20|550870009|APPLETON AAL|PM2.5-24hr|UG/M3|9.5|24|Wisconsin Dept. of Natural Resources
01/01/20|550890009|HARRINGTON BCH|PM2.5-24hr|UG/M3|7.6|24|Wisconsin Dept. of Natural Resources
01/01/20|551110007|Devils Lake|PM10-24hr|UG/M3|10|24|Wisconsin Dept. of Natural Resources
01/01/20|551110007|Devils Lake|PM2.5-24hr|UG/M3|6.9|24|Wisconsin Dept. of Natural Resources
01/01/20|551198001|PERKINSTOWN|PM2.5-24hr|UG/M3|9.4|24|Wisconsin Dept. of Natural Resources
01/01/20|551199991|Perkinstown|OZONE-1HR|PPB|31|1|EPA Office of Atmospheric Programs
01/01/20|551199991|Perkinstown|OZONE-8HR|PPB|30|8|EPA Office of Atmospheric Programs
01/01/20|551250001|TROUT LAKE|PM2.5-24hr|UG/M3|7.7|24|Wisconsin Dept. of Natural Resources
01/01/20|551330027|WAUKESHA - CLEVELAND|PM2.5-24hr|UG/M3|8.3|24|Wisconsin Dept. of Natural Resources
01/01/20|560019991|Centennial|OZONE-1HR|PPB|48|1|EPA Office of Atmospheric Programs
01/01/20|560019991|Centennial|OZONE-8HR|PPB|46|8|EPA Office of Atmospheric Programs
01/01/20|560030002|Basin|OZONE-1HR|PPB|34|1|Bureau of Land Management - Wyoming
01/01/20|560030002|Basin|OZONE-8HR|PPB|31|8|Bureau of Land Management - Wyoming
01/01/20|560050123|Thunder Basin|OZONE-1HR|PPB|39|1|Wyoming Department of Environmental Quality
01/01/20|560050123|Thunder Basin|OZONE-8HR|PPB|37|8|Wyoming Department of Environmental Quality
01/01/20|560070008|Sinclair In-Town|SO2-24HR|PPB|1|24|Wyoming Department of Environmental Quality
01/01/20|560090010|Converse County Long|CO-8hr|PPM|0.08|1|Wyoming Department of Environmental Quality
01/01/20|560090010|Converse County Long|OZONE-1HR|PPB|43|1|Wyoming Department of Environmental Quality
01/01/20|560090010|Converse County Long|OZONE-8HR|PPB|41|8|Wyoming Department of Environmental Quality
01/01/20|560090010|Converse County Long|PM10-24hr|UG/M3|8|24|Wyoming Department of Environmental Quality
01/01/20|560130099|South Pass|OZONE-1HR|PPB|45|1|Wyoming Department of Environmental Quality
01/01/20|560130099|South Pass|OZONE-8HR|PPB|43|8|Wyoming Department of Environmental Quality
01/01/20|560130099|South Pass|PM2.5-24hr|UG/M3|-0.6|24|Wyoming Department of Environmental Quality
01/01/20|560190004|Johnson County|OZONE-1HR|PPB|44|1|Wyoming Department of Environmental Quality
01/01/20|560190004|Johnson County|OZONE-8HR|PPB|43|8|Wyoming Department of Environmental Quality
01/01/20|560190004|Johnson County|PM10-24hr|UG/M3|1|24|Wyoming Department of Environmental Quality
01/01/20|560210100|Cheyenne NCore|CO-8hr|PPM|0.11|1|Wyoming Department of Environmental Quality
01/01/20|560210100|Cheyenne NCore|OZONE-1HR|PPB|39|1|Wyoming Department of Environmental Quality
01/01/20|560210100|Cheyenne NCore|OZONE-8HR|PPB|36|8|Wyoming Department of Environmental Quality
01/01/20|560210100|Cheyenne NCore|PM10-24hr|UG/M3|5|24|Wyoming Department of Environmental Quality
01/01/20|560210100|Cheyenne NCore|PM2.5-24hr|UG/M3|2.5|24|Wyoming Department of Environmental Quality
01/01/20|560210100|Cheyenne NCore|SO2-24HR|PPB|0|24|Wyoming Department of Environmental Quality
01/01/20|560250100|Casper Gaseous|OZONE-1HR|PPB|45|1|Wyoming Department of Environmental Quality
01/01/20|560250100|Casper Gaseous|OZONE-8HR|PPB|43|8|Wyoming Department of Environmental Quality
01/01/20|560250100|Casper Gaseous|PM2.5-24hr|UG/M3|1.1|24|Wyoming Department of Environmental Quality
01/01/20|560330002|Sheridan PD|PM10-24hr|UG/M3|8|24|Wyoming Department of Environmental Quality
01/01/20|560330004|Sheridan|OZONE-1HR|PPB|44|1|Bureau of Land Management - Wyoming
01/01/20|560330004|Sheridan|OZONE-8HR|PPB|42|8|Bureau of Land Management - Wyoming
01/01/20|560350099|Boulder|OZONE-1HR|PPB|46|1|Wyoming Department of Environmental Quality
01/01/20|560350099|Boulder|OZONE-8HR|PPB|45|8|Wyoming Department of Environmental Quality
01/01/20|560350099|Boulder|PM10-24hr|UG/M3|1|24|Wyoming Department of Environmental Quality
01/01/20|560350100|Daniel South|OZONE-1HR|PPB|46|1|Wyoming Department of Environmental Quality
01/01/20|560350100|Daniel South|OZONE-8HR|PPB|43|8|Wyoming Department of Environmental Quality
01/01/20|560350100|Daniel South|PM10-24hr|UG/M3|3|24|Wyoming Department of Environmental Quality
01/01/20|560350101|Pinedale Gaseous|OZONE-1HR|PPB|46|1|Wyoming Department of Environmental Quality
01/01/20|560350101|Pinedale Gaseous|OZONE-8HR|PPB|46|8|Wyoming Department of Environmental Quality
01/01/20|560350101|Pinedale Gaseous|PM2.5-24hr|UG/M3|1.7|24|Wyoming Department of Environmental Quality
01/01/20|560350700|Big Piney|OZONE-1HR|PPB|47|1|Wyoming Department of Environmental Quality
01/01/20|560350700|Big Piney|OZONE-8HR|PPB|44|8|Wyoming Department of Environmental Quality
01/01/20|560351002|Juel Spring|OZONE-1HR|PPB|45|1|Wyoming Department of Environmental Quality
01/01/20|560351002|Juel Spring|OZONE-8HR|PPB|44|8|Wyoming Department of Environmental Quality
01/01/20|560359991|Pinedale|OZONE-1HR|PPB|44|1|EPA Office of Atmospheric Programs
01/01/20|560359991|Pinedale|OZONE-8HR|PPB|43|8|EPA Office of Atmospheric Programs
01/01/20|560370077|Hiawatha|OZONE-1HR|PPB|45|1|Wyoming Department of Environmental Quality
01/01/20|560370077|Hiawatha|OZONE-8HR|PPB|44|8|Wyoming Department of Environmental Quality
01/01/20|560370200|Wamsutter|OZONE-1HR|PPB|45|1|Wyoming Department of Environmental Quality
01/01/20|560370200|Wamsutter|OZONE-8HR|PPB|44|8|Wyoming Department of Environmental Quality
01/01/20|560370200|Wamsutter|PM10-24hr|UG/M3|3|24|Wyoming Department of Environmental Quality
